Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
206;-6.5827387459;-6.5855910000;0.0028522541;600;0.2254000000;1;Да
207;-5.3827948534;-5.3856613000;0.0028664466;760;0.2770000000;1;Да
208;-3.8362010066;-3.8366085000;0.0004074934;120;0.0513000000;1;Да
209;-5.3479123447;-5.3495202000;0.0016078553;760;0.3142000000;1;Да
210;-6.3727425992;-6.3801136000;0.0073710008;520;0.2555000000;1;Да
211;-4.2017264873;-4.2019107000;0.0001842127;440;0.1628000000;1;Да
212;-6.2064962044;-6.2093198000;0.0028235956;360;0.1340000000;1;Да
213;-4.6378164848;-4.6402022000;0.0023857152;440;0.1594000000;1;Да
214;-3.4629355931;-3.4632927000;0.0003571069;240;0.0932000000;1;Да
215;-5.4783182465;-5.4806281000;0.0023098535;80;0.0314000000;1;Да
216;-6.9901426495;-6.9953635000;0.0052208505;240;0.0919000000;1;Да
217;-3.7786697032;-3.7794172000;0.0007474968;280;0.1033000000;1;Да
218;-3.4187641490;-3.4226119000;0.0038477510;520;0.2043000000;1;Да
219;-5.2889904583;-5.2897395000;0.0007490417;520;0.2154000000;1;Да
220;-3.1377856017;-3.1384546000;0.0006689983;600;0.2839000000;1;Да
221;-5.4738990663;-5.4746783000;0.0007792337;120;0.0735000000;1;Да
222;-4.4485980379;-4.4498206000;0.0012225621;200;0.1004000000;1;Да
223;-6.1445123578;-6.1491707000;0.0046583422;80;0.0336000000;1;Да
224;-4.6319230198;-4.6324576000;0.0005345802;280;0.1116000000;1;Да
225;-4.4875049102;-4.4883982000;0.0008932898;200;0.0783000000;1;Да
226;-3.6238272408;-3.6238749000;0.0000476592;680;0.2564000000;1;Да
227;-4.6157156954;-4.6164508000;0.0007351046;640;0.3274000000;1;Да
228;-3.7476825678;-3.7479441000;0.0002615322;480;0.2444000000;1;Да
229;-4.8097007484;-4.8097009000;0.0000001516;120;0.0813000000;1;Да
230;-5.4419732022;-5.4421681000;0.0001948978;560;0.2179000000;1;Да
231;-5.3326220275;-5.3329354000;0.0003133725;80;0.0746000000;1;Да
232;-5.3242471831;-5.3315700000;0.0073228169;80;0.0346000000;1;Да
233;-5.2169850844;-5.2192091000;0.0022240156;360;0.1570000000;1;Да
234;-7.0798591792;-7.0799768000;0.0001176208;360;0.2942000000;1;Да
235;-5.4755630042;-5.4808629000;0.0052998958;360;0.1624000000;1;Да
236;-4.9652051227;-4.9734793000;0.0082741773;560;0.2177000000;1;Да
237;-3.4036827227;-3.4069951000;0.0033123773;280;0.1138000000;1;Да
238;-4.7247383815;-4.7344580000;0.0097196185;360;0.1493000000;1;Да
239;-7.7340755062;-7.7380863000;0.0040107938;240;0.0991000000;1;Да
240;-4.6035809042;-4.6046005000;0.0010195958;400;0.1646000000;1;Да
241;-4.4863880282;-4.4886714000;0.0022833718;480;0.1694000000;1;Да
242;-4.9871532968;-4.9899287000;0.0027754032;400;0.2344000000;1;Да
243;-4.3471144036;-4.3496468000;0.0025323964;240;0.2191000000;1;Да
244;-3.3304298915;-3.3308186000;0.0003887085;200;0.0840000000;2;Да
245;-2.5737006186;-2.5748633000;0.0011626814;160;0.0689000000;1;Да
246;-4.4925672690;-4.4972383000;0.0046710310;80;0.0823000000;1;Да
247;-4.9418231786;-4.9462855000;0.0044623214;400;0.3732000000;1;Да
248;-5.9682983550;-5.9683086000;0.0000102450;280;0.1357000000;1;Да
249;-4.7383264833;-4.7407747000;0.0024482167;280;0.1185000000;1;Да
250;-3.7922958646;-3.8001917000;0.0078958354;80;0.0365000000;1;Да
251;-5.0901771368;-5.0923425000;0.0021653632;160;0.1128000000;1;Да
252;-3.0587321159;-3.0677439000;0.0090117841;440;0.2808000000;1;Да
253;-3.8227314311;-3.8251490000;0.0024175689;280;0.2599000000;1;Да
254;-2.7193577734;-2.7193867000;0.0000289266;160;0.1287000000;1;Да
255;-4.7115364322;-4.7148529000;0.0033164678;360;0.3435000000;1;Да
256;-5.8628595222;-5.8717696000;0.0089100778;80;0.0417000000;1;Да
257;-5.9325819643;-5.9335747000;0.0009927357;480;0.4307000000;1;Да
258;-5.2775052063;-5.2787615000;0.0012562937;600;0.7398000000;1;Да
259;-5.0552235179;-5.0617268000;0.0065032821;400;0.2340000000;1;Да
260;-5.3962057933;-5.3963652000;0.0001594067;120;0.1696000000;1;Да
261;-4.1766168494;-4.1774344000;0.0008175506;240;0.4021000000;1;Да
262;-4.9399907255;-4.9481369000;0.0081461745;80;0.1331000000;1;Да
263;-3.5129510750;-3.5131940000;0.0002429250;480;0.3853000000;1;Да
264;-5.4629313333;-5.4643109000;0.0013795667;280;0.1813000000;1;Да
265;-6.7917366831;-6.7997861000;0.0080494169;240;0.2670000000;1;Да
266;-6.0203362381;-6.0244454000;0.0041091619;280;0.1148000000;1;Да
267;-2.7313553915;-2.7315361000;0.0001807085;600;0.3955000000;1;Да
268;-2.9421679000;-2.9425013000;0.0003334000;80;0.0660000000;1;Да
269;-4.3298807563;-4.3344388000;0.0045580437;320;0.1717000000;1;Да
